ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
NAME	bnumber	Description	correl_supercoiling	p-value	log(p-value)	2nor15rr	5nor15rr	10nor15rr	20nor15rr	30nor15rr	nor2re	nor5re	nor10re	nor20re	nor30re	gyrbwt_2min	gyrbwt_5min	gyrbwt_10min	gyrbwt_20min	gyrbts_2min	gyrbts_5min	gyrbts_10min	gyrbts_20min	2nor15	k3nor15	k4nor15	5nor15	k7nor15	10nor15	k15nor15	20nor15	30nor15	nor2wt	nor5wt	nor10wt	nor20wt	nor30wt	nov20_1	nov50_1	nov200_1
thrL 	b0001	thr_operon_leader_peptide	-0.3163520369	1	0	0.111	0.3103	0.4005	-0.0145	0.2388	0.1506	0.669	0.8156	0.3674	0.7908	-0.05889	0.4647	0.7312	0.4957	-0.0145	0.7225	0.4647	-0.304	0.1243	0.01407	0.433	0.3334	0.16728	0.1375	0.042575	0.07039	-0.17925	0.6781	0.189	1.417	0.9709	0.4436	-2.322	-3.059	-2.092947
thrA 	b0002	aspartokinase_I,_homoserine_dehydrogenase_I	-0.7442856854	0.003125	-8.3219280949	0.1506	0.2388	0.4222	1.275	1.257	0.8718	0.7485	0.856	1.475	1.816	-0.05889	0.3103	0.3896	0.1506	-0.8625	0.05658	-0.5353	-1.152	0.3219	-0.30125	-0.2515	0.01436	-0.3585	-0.08927	-0.3058	-0.02915	-0.11725	0.1375	-0.2176	-0.5146	-0.3585	0.02857	-0.8365	-0.9434	-1.786
thrB 	b0003	homoserine_kinase	-0.3672268701	0.999375	-0.0009019663	0.04264	-0.3219	0.2388	1.036	1.118	0.585	0.4436	0.757	1.322	1.084	-0.9159	-0.152	0.1506	0.02857	-0.5353	-0.2009	-0.1361	-0.5564	0.2869	-0.23695	0.111	0.1506	0.149605	-0.0145	-0.137715	0.189	-0.014575	-0.0145	-0.454	0.2869	0.4854	0.848	-0.2863	-0.3771	-0.7612
thrC 	b0004	threonine_synthase	-0.2825818428	1	0	-0.0145	-0.1047	0.2869	0.84	0.856	0.433	0.2016	0.1375	0.8074	0.757	-0.7131	0.07039	0.275	0.251	-0.889	-0.1844	-0.3219	-0.9159	0.3219	0.21065	-0.05889	-0.1844	0.039305	0.09761	0.077225	0.4957	0.16095	0.4005	0.251	0.275	0.2265	0.7655	-0.1844	-0.2345	-0.6215
b0005 	b0005	orf,_hypothetical_protein	0.0973357529	1	0	0.04264	0.1635	0.433	-0.2009	0.669	-0.1844	0.111	-0.0145	0.251	0.2388	-0.152	0.2265	0.4222	0.4436	-0.8365	2.646	1.084	0.189	-0.02915	0.5171	-0.1361	-0.08927	0.63965	-0.05889	0.6581	-0.1047	0.11325	-0.5146	-0.074	-0.1844	-0.3959	-0.04394	0.7312	1.316	1.077
yaaA 	b0006	orf,_hypothetical_protein	0.2959184091	1	0	0.1635	-0.2176	0.09761	0.1375	0.5753	0.01436	0.2388	0.1506	0.2016	0.6415	-0.074	0.02857	-0.2863	-0.08927	0.09761	0.4647	0.5656	0.3785	0.02857	0.11423	0.09761	0.2869	0.07005	0.585	-0.27885	0.3103	0.42	0.7225	-0.1844	0.189	-0.2345	0.1243	1.263	1.836	1.22
yaaJ 	b0007	inner_membrane_transport_protein	0.4464123284	0.671375	-0.5748092785	-0.1844	-0.2688	-0.2863	0.1375	0.4542	-0.2515	-0.02915	0.3561	-0.05889	0.05658	1.064	0.9709	0.02857	0.275	1.967	0.8797	1.48	0.433	0.111	0.3832	0.5261	0.2987	0.42135	0.2016	0.5792	0.3896	0.2271	0.6135	0.856	0.01436	0.6781	0.8319	1.036	1.269	1.287
talB 	b0008	transaldolase_B	0.0479911898	1	0	0.3561	0.669	0.2987	0.546	0.7485	0.7824	0.5558	0.6415	1.029	1.091	-0.5778	-0.304	0.1243	0.3896	0.01436	0.4114	1.014	1.17	0.8639	0.6633	0.6135	0.8875	0.29483	0.8797	-0.40625	0.8237	0.601	0.6323	0.8718	0.3103	-0.811	-0.7131	1.501	1.536	1.401
mog 	b0009	required_for_the_efficient_incorporation_of_molybdate_into_molybdoproteins	0.394779008	0.780875	-0.3568364701	-0.1361	-0.152	0.05658	0.3334	0.251	-0.08927	0	-0.08927	0.02857	-0.074	-0.02915	-0.2009	0.111	-0.5564	0.585	0.3448	0.585	0.6599	0.3896	-0.12835	-0.04394	0.4854	-0.3411	0.7655	-0.082055	1.091	0.48175	-0.02915	-0.08927	-0.152	-0.2515	-0.152	0.7137	1.124	1.064
