ALL VALUES ARE ARE LOG(2) [EXPRESSION RATIOS] 					Experimental treatment:	15 microg/ml Nor, 2 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 10 min	15microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	42º C, 2 min	42º C, 5 min	42º C, 10 min	42º C, 20 min	15 microg/ml Nor, 2 min	15 microg/ml Nor, 3 min	15 microg/ml Nor, 4 min	15 microg/ml Nor, 5 min	15 microg/ml Nor, 7 min	15 microg/ml Nor, 10 min	15 microg/ml Nor, 15 min	15 microg/ml Nor, 20 min	15 microg/ml Nor, 30 min	50 microg/ml Nor, 2 min	50 microg/ml Nor, 5 min	50 microg/ml Nor, 10 min	50 microg/ml Nor, 20 min	50 microg/ml Nor, 30 min	20 microg/ml Novo, 5 min	50 microg/ml Novo, 5 min	200 microg/ml Novo, 5 min
NAME	bnumber	Description	correl_sigma	p-value	log(p-value)	rr2nor15	rr5nor15	rr10nor15	rr20nor15	rr30nor15	rr2nor50	rr5nor50	rr10nor50	rr20nor50	rr30nor50	gyrbwt_2min42deg	gyrbwt_5min42deg	gyrbwt_10min42deg	gyrbwt_20min42deg	gyrbts_2min42deg	gyrbts_5min42deg	gyrbts_10min42deg	gyrbts_20min42deg	wt2nor15	wt3nor15	wt4nor15	wt5nor15	wt7nor15	wt10nor15	wt15nor15	wt20nor15	wt30nor15	wt2nor50	wt5nor50	wt10nor50	wt20nor50	wt30nor50	nov20_wt5min	nov50_wt5min	nov200_wt5min
glmS 	b3729	L-glutamine:D-fructose-6-phosphate_aminotransferase	-0.838146948	0.000125	-12.9657842847	0.09761	0.6599	0.3448	0.774	0.7312	0.07039	0.1243	0.2141	0.251	0.6135	-0.7131	-0.6215	-0.04394	-0.2345	-1.218	-1.358	-1.152	-1.029	-1.644	-3.1215	-3.184	-2.396	-3.015	-2.059	-3.0635	-2.12	-0.592	-2.943	-3.474	-3.644	-3.837	-2.943	-0.7131	-1.69	-1.737
pnp 	b3164	polynucleotide_phosphorylase;_cytidylate_kinase_activity	-0.832260665	0.000125	-12.9657842847	0.757	0.8074	0.5558	-0.1361	-0.2863	0.5656	0.5753	0.5656	-0.5564	-0.3219	-1.358	-1.322	-1.322	-1	-2.252	-3.059	-2.12	-2.184	-1.152	-2.652	-2.837	-2.737	-3.2665	-2.322	-2.8515	-2.556	-1.322	-1.322	-2.556	-3.184	-2.556	-2.12	-1.786	-2.184	-2.943
dxs 	b0420	1-deoxyxylulose-5-phosphate_synthase;_flavoprotein	-0.793186714	0.000125	-12.9657842847	0.1635	0.2869	0.251	0.263	-0.3771	-0.1844	0.09761	-0.2345	0.2388	-0.2688	-0.8625	-0.737	-0.4344	-0.5778	-1.556	-3.474	-1.889	-1.556	-1.644	-2.6	-2.556	-2.322	-2.1905	-2.556	-2.186	-2.837	-1.661	-2.644	-1.737	-2.474	-1.837	-1.252	-1.737	-1.69	-5.644
yraM 	b3147	putative_glycosylase	-0.883528915	0.000125	-12.9657842847	0.3103	0.6871	0.3561	0.3334	0.4542	0.4005	0.4005	0.275	0.3896	0.2016	-0.4941	-0.6897	-0.4941	-0.1681	-1.252	-1.12	-0.737	-1.218	-0.3585	-1.6145	-1.889	-1.474	-2.161	-2.252	-2.1555	-2	-1.198	-1.644	-2.556	-3.474	-2.252	-1.786	-1.184	-2.12	-4.059
ispA 	b0421	geranyltranstransferase_(farnesyldiphosphate_synthase)	-0.810187192	0.000125	-12.9657842847	-0.2345	-0.08927	0.2016	0.09761	-0.811	-0.02915	0.05658	0.05658	0.516	0.04264	-0.3585	-0.415	0.3334	-0.02915	-1.059	-1.059	-1.12	-0.5778	-2.556	-2.6465	-2.943	-2.252	-2.382	-2.644	-2.363	-3.322	-1.4715	-1.152	-2.184	-2.474	-3.474	-2.322	-1.69	-2	-0.5353
yihE 	b3859	orf,_hypothetical_protein	-0.846446822	0.000125	-12.9657842847	0.2265	0.6781	0.4751	0.5261	0.903	0.3219	0.05658	-0.1681	-0.02915	-0.3771	-0.7859	-0.3401	0.05658	0.2869	-2	-1.43077	-1.434	-2.252	-2.184	-1.1725	-1.786	-1.089	-1.6885	-2.837	-1.439	-2.943	-1.322	-1.599	-2.184	-1.889	-2.252	-0.9434	-1.322	-1.515	-3.059
ribF 	b0025	putative_regulator	-0.874500345	0.000125	-12.9657842847	-0.1681	0.1763	0.07039	0.4854	0.1243	0.4222	0.2869	0.3896	0.5059	0.5059	0.774	0.7908	0.5059	0.3448	-0.8625	-0.08927	-0.05889	-0.5564	0.09761	-2.398	-2.059	-1.434	-2.324	-2.474	-2.186	-1.322	-1.092	-0.8365	-1	-2.059	-2.556	-1.474	-1.943	-1.737	-3.322
polA 	b3863	DNA_polymerase_I,_3'_-->_5'_polymerase,_5'_-->_3'_and_3'_-->_5'_exonuclease	-0.821613743	0.000125	-12.9657842847	-0.2515	0.3561	0.4436	0.5059	1.233	0.07039	-0.152	-0.04394	0.04264	0.07039	-0.0145	-0.2009	0.1635	0.01436	-0.811	-1.059	-1.059	-1.286	-0.5778	-1.882	-2.252	-1.786	-2.837	-2.644	-2.89	-3.184	-1.278	-0.9159	-0.9159	-0.737	-1.152	-0.889	-1.69	-2.184	-3.322
minC 	b1176	cell_division_inhibitor,_inhibits_ftsZ_ring_formation	-0.806568682	0.000125	-12.9657842847	0.1375	-0.2176	-0.1361	0.1375	-0.1047	-0.1361	-0.1047	-0.4739	0.02857	0.1506	-0.3585	-0.3771	0	-0.1047	-1.737	-1.786	-1.515	-1.69	-1.943	-2.6165	-2.556	-2.322	-2.5445	-2.644	-2.6465	-2.059	-0.9715	-1.556	-1.089	-0.7612	-1.089	-0.889	-2.184	-3.059	-3.322
